Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),Ozone,PM25,SO2,PM10,CO
01/02/1992,24,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,7,.,24,.,
01/03/1992,23,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,15,.,23,.,
01/04/1992,17,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,17,.,13,.,
01/05/1992,82,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,16,.,82,.,
01/06/1992,24,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,13,.,24,.,
01/07/1992,60,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,9,.,60,34,
01/08/1992,44,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,10,.,44,.,
01/09/1992,6,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,6,.,4,.,
01/10/1992,12,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,12,.,10,.,
01/11/1992,19,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,12,.,19,.,
01/12/1992,14,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,14,.,9,.,
01/13/1992,17,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,17,.,7,14,
01/14/1992,22,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,22,.,7,.,
01/15/1992,22,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,22,.,13,.,
01/16/1992,30,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,19,.,30,.,
01/17/1992,24,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,20,.,24,.,
01/18/1992,23,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,23,.,3,.,
01/19/1992,39,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,19,.,39,19,
01/20/1992,17,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,17,.,9,.,
